epoch,disease_output_accuracy,disease_output_loss,loss,plant_output_accuracy,plant_output_loss,val_disease_output_accuracy,val_disease_output_loss,val_loss,val_plant_output_accuracy,val_plant_output_loss
0,0.6509552597999573,1.216290831565857,1.644335150718689,0.8602246642112732,0.428952157497406,0.8612814545631409,0.4071827530860901,0.5283006429672241,0.9640516042709351,0.12044353783130646
1,0.8894341588020325,0.3920540511608124,0.42844969034194946,0.9824427962303162,0.03635300323367119,0.927891731262207,0.22202834486961365,0.24824005365371704,0.9931275248527527,0.025857174769043922
2,0.9335240125656128,0.24826580286026,0.26303911209106445,0.9923367500305176,0.014794820919632912,0.9468175172805786,0.17032243311405182,0.1818467378616333,0.9966166019439697,0.011259340681135654
3,0.9524196982383728,0.17686957120895386,0.1853458732366562,0.9959584474563599,0.00845666415989399,0.9578135013580322,0.13437193632125854,0.1436392068862915,0.9978854060173035,0.009056915529072285
4,0.9656991362571716,0.13197030127048492,0.1370268166065216,0.9976118206977844,0.005043413955718279,0.9632057547569275,0.12772680819034576,0.13537125289440155,0.9984140396118164,0.007445068564265966
5,0.9754093885421753,0.09873752295970917,0.10277523100376129,0.9976380467414856,0.004024435766041279,0.9717699289321899,0.10054981708526611,0.1037418469786644,0.9991541504859924,0.003039539558812976
6,0.9808681607246399,0.07972817122936249,0.08383678644895554,0.9982941150665283,0.004111200571060181,0.9751533269882202,0.09208530932664871,0.09837502986192703,0.997991144657135,0.00614461675286293
7,0.9856970310211182,0.064654640853405,0.0669529065489769,0.9985565543174744,0.002285695867612958,0.9700782299041748,0.10216834396123886,0.10409782826900482,0.9997885227203369,0.0017763706855475903
8,0.986405611038208,0.061106324195861816,0.06242385134100914,0.9994488954544067,0.0013230375479906797,0.9708183407783508,0.10449421405792236,0.18145449459552765,0.9755762219429016,0.0766957551240921
9,0.9916281700134277,0.03951813280582428,0.04043541103601456,0.9995538592338562,0.00091183977201581,0.9765278100967407,0.08491920679807663,0.0856521800160408,1.0,0.0006065824418328702
10,0.9896336197853088,0.047595538198947906,0.04964049905538559,0.9991077184677124,0.002037563594058156,0.9787481427192688,0.08264502137899399,0.08343186229467392,0.9997885227203369,0.0006635917816311121
11,0.992940366268158,0.03214242681860924,0.03300609812140465,0.9996850490570068,0.0008598286658525467,0.9788538813591003,0.08727290481328964,0.08902277797460556,0.9994713664054871,0.0016183836851269007
12,0.9938851594924927,0.02639206312596798,0.02852022461593151,0.9991339445114136,0.002122321631759405,0.9812856912612915,0.0806579515337944,0.08147046715021133,0.9998942613601685,0.0006921166786924005
13,0.9940950870513916,0.023876599967479706,0.025364788249135017,0.9992126822471619,0.0014840291114524007,0.9716641902923584,0.11463698744773865,0.1160035952925682,0.9997885227203369,0.0011955734807997942
14,0.9946199655532837,0.031165866181254387,0.031953003257513046,0.9996588230133057,0.0007817132282070816,0.9823430180549622,0.09383226931095123,0.09452687203884125,0.9998942613601685,0.0005553447408601642
15,0.9967982172966003,0.021064700558781624,0.022748973220586777,0.9995800852775574,0.0016802484169602394,0.9836117625236511,0.07963170111179352,0.07997937500476837,1.0,0.00022956388420425355
16,0.9963258504867554,0.020365415140986443,0.02072434313595295,0.9998687505722046,0.00035551225300878286,0.983400285243988,0.08326448500156403,0.08414897322654724,0.9998942613601685,0.0007605741848237813
17,0.9980841875076294,0.010581223294138908,0.010679129511117935,1.0,9.56818912527524e-05,0.9827659130096436,0.07889021933078766,0.07925605773925781,1.0,0.0002489181642886251
18,0.9952235817909241,0.025636358186602592,0.03032490983605385,0.9985828399658203,0.0046823397278785706,0.9792767763137817,0.09451684355735779,0.09753908216953278,0.9991541504859924,0.0028789350762963295
19,0.9979529976844788,0.013197972439229488,0.013766482472419739,0.9996063113212585,0.0005661515169776976,0.983400285243988,0.07705090939998627,0.07755878567695618,0.9998942613601685,0.00039336553891189396
